Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_2x07_P1.27mm_Vertical_SMD,1,14-pol STDC14 JTAG&SWD 1.27mm,
J3,IDC-Header_2x03_P2.54mm_Vertical,1,6-pol TC2030 SWD 2.54mm,
